nome_filme,autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor
Medianeras: Buenos Aires na Era do Amor Virtual,Erlick Badu,5.0,"Vi há muito tempo, achei sensacional. Lembrei, resolvi informar. =)",11.0,1.0
Medianeras: Buenos Aires na Era do Amor Virtual,Jardel C.,4.5,O cinema Argentino em sua melhor forma. Um convite a conhecer Buenos Aires. Recomendo.,8.0,1.0
Medianeras: Buenos Aires na Era do Amor Virtual,Kenny S.,5.0,"Filme muito bom. Como os Argentinos conseguem fazer um filme tão bom com um tema tão simples e nós Brasileiros não temos essas sacadas? Recomento principalmente para quem está aprendendo a Língua Espanhola, assim como eu.",1.0,
Medianeras: Buenos Aires na Era do Amor Virtual,Maria Inês D.,4.5,Um filme sobre a vida na metrópole e o quanto sua arquitetura e o atual modo de vida distancia e entristece as pessoas.,7.0,
Medianeras: Buenos Aires na Era do Amor Virtual,Um visitante,5.0,"As pessoas buscam encontrar as pessoas perfeitas e encontrar seus parceiros para relacionamentos pela internet, mas perdem inúmeras oportunidades de conhecer melhor as pessoas que estão muito mais próximas fisicamente. Há uma proximidade corporal, mas uma enorme distância afetiva.",,
Medianeras: Buenos Aires na Era do Amor Virtual,Diego C.,4.0,"Ótimo filme.  Tinha tudo pra ser chato,  mas não é.  Vale a pena assistir.",8.0,
Medianeras: Buenos Aires na Era do Amor Virtual,Thiago Soares Meireles,4.0,"Achei o filme monótono... paradão... simples... mas ai, no final, entendi todo o sentido do filme e achei excelente! O filme tem que ser monótono... paradão.... simples... porque assim era a vida deles!! Faz você sentir o filme e os personagens, entrar na história e no final tudo fez muito sentido. Se você entende a que o filme se propõe, percebe que entregou com excelência para você!",4.0,
Medianeras: Buenos Aires na Era do Amor Virtual,Alexandre C.,3.5,"Bom filme sobre as relações amorosas nos tempos modernos em uma cidade grande. A solidão e os desencontros são, paradoxalmente, a tônica em muitas cidades altamente povoadas como a Buenos Aires da atualidade.     Além disso, procura retratar as inseguranças e fobias geradas na vida caótica dos grandes centros, em que a vida virtual é um refúgio para muitos. Vale a pena ver !!",2.0,
Wall-E,Fabiana R.,5.0,"Demorei para assisti-lo por inteiro. Uma obra-prima, animação com temática mais adulta com certeza, muito inteligente e critica. Quem está acostumado com desenhos estilo A era do gelo, Madagascar, Sherek (desenhos divertidos, é só) claro que não vai gostar desse. Com certeza será um cult da animação. Muito além do esperado.",24.0,17.0
Wall-E,Noah,5.0,"Infância, doce infância.Ao amar alguém podemos fazer descobertas sobre nós mesmos, tentamos atrair a atenção de quem nos afeta (Wall-e) e podemos fazer pouco a pouco mudanças significativas no mundo.Quem assiste esse filme é tocado sem dúvida de alguma maneira pelo modo simples e criativo do personagem principal ser.O filme apesar de ser uma animação é claramente não apenas direcionado ao público infantil, mas a todos  aqueles que podem criar uma chama em si mesmos chamada esperança.Obviamente, todos os elogios a esta obra-prima são inegáveis.",13.0,4.0
Wall-E,Maiko D,4.5,"Tem drama, comédia, ação, emoção e muita fofura. É envolvente, quando se percebe, já está acabando. Recomendadíssimo!",303.0,1650.0
Wall-E,Aieser A.,5.0,"Confesso que demorei muito pra ver esse filme pelo preconceito com os filmes que não tem diálogos...e fico feliz em dizer que estava muito errado por pensar daquele jeito... Wall-e até pouco mais da metade do filme não possui um diálogo sequer.... porém conta com uma qualidade de roteiro e animação inquestionáveis! O filme não só nos diverte , ele nos surpreende com uma história incrível, uma crítica social a alguns pensamentos da ""humanidade sedentária"" , sem falar da emocionante história de amor improvável. Resumindo Wall-e é criativo,divertido e sensacional. EXCELENTE!!!",28.0,26.0
Wall-E,Victor N.,4.0,"Os 30 primeiros minutos são chatos pacacete, mas dai em diante o filme é bom. Selo de qualidade da Pixar.",104.0,56.0
Wall-E,Um visitante,4.0,"Apesar de não ser tão memorável quanto os demais filmes da Era de Ouro da Pixar(os dois primeiros Toy Story, Monstros, Procurando Nemo, e Os Incríeis) Wall-E é um sci-fi animado que não faz feio e entrega o que promete e mais um pouco. Lindamente produzido e com um design de som espetacular, o filme infelizmente sofre de um ritmo irregular demais e seus personagens não são tão interessantes quanto outros criados pelo time genial do Estúdio anteriormente. Apesar de Wall-E ser um personagem carismático, ele só tem uma nota, suas características envolventes vão se esvaindo ao longo da projeção, se tornando apenas um personagem bobinho demais, que só pode ser identificável para crianças mais novas. Ainda sim, o 'relacionamento' dele com Eva é bem desenvolvido na maior parte do tempo e nós conseguimos sentir bastante empatia por eles. Eu acho que o que deixou o filme um pouco estranho pra mim foi mesmo o fato dele sofrer de uma síndrome comum em seu gênero : Ser na verdade dois filmes em um. O primeiro ato, quieto, instigante, e tocante, que apresenta os personagens de forma engenhosa e cativante, não se vê refletido nos atos seguintes. A partir do momento em que eles vão para o espaço, o filme muda completamente de tom, e não de uma forma orgânica ou que torne a estória mais imersiva, mas sim de uma forma abrupta, que vai por caminhos clichês e pouco instigantes. Para o público mais velho, as coisas vão ficando previsíveis demais, sem falar que os personagens humanos não passam de meras caricaturas do americano médio. Enfim, o filme tem problemas, mas do ponto de vista técnico e levando em conta as mensagens que o centro da trama carrega, este é mais um trabalho sólido da parceria Disney/Pixar.",,
Wall-E,Mateus N.,5.0,"O robô mais humano possível A Pixar é definitivamente o melhor estúdio de animação atual. Cada filme tem seu aspecto único, momentos marcantes, personagens incríveis, e Wall - E é repleto com todos esses aspectos. Num futuro distante, a humanidade poluiu tanto o planeta Terra, chegando a um ponto de ser impossível a sustentação de vida. Sem lugar para ir, são criadas naves para mandar a raça humana para o espaço, enquanto o planeta é limpado por robôs, os Wall - E. O visual do filme é cativante, tanto na Terra, com uma fotografia panorâmica e marrom, e especialmente no espaço, com cores vibrantes, cenas lindas, especialmente quando Wall - E passeia pelos anéis de Saturno. A simplicidade do filme é seu maior trunfo. O desenvolvimento completo de personagens sem a necessidade de quase nenhum diálogo, especialmente o de Wall - E. Sua personalidade nos cativa a partir do primeiro momento em que aparece na telona. Sua semelhança com uma criança é quase inevitável, a inocência, a empolgação quando descobre coisas novas e desejos simples, como o de apenas segurar a mão de sua querida EVA. Outro acerto do longa é a relação entre seus personagens. O amor de Wall - E por EVA é algo delicioso de ver crescendo, o cuidado quem o pequeno robozinho tem por ela, sua determinação de ajudá-la a cumprir sua missão, é algo que traz emoção ao filme, levando até à lágrimas nos olhos de muitos telespectadores.Repleto de um humor agradável, personagens com importância relevante no filme, um visual incrível, e um roteiro ainda mais(mesmo sem falas), Wall - E também nos deixa mensagens ao final, sustentabilidade, amizade, e o que a Pixar sabe mostrar de melhor em seus filmes: Amor.",12.0,20.0
Wall-E,Ricardo L.,4.0,"Uma animação de primeirissima qualidade, feito pela Disney, bem elaborado, onde mostra qque os mais simples instrumentos feito pelo Homem pode ser melhor do que o proprio ser Humano!!! Muito bom mesmo",3063.0,62699.0
Wall-E,Elvira A.,4.5,"Uma fábula que faz refletir sobre solidariedade e preservação do meio ambiente, num gostoso ritmo de comédia de aventuras. O filme é merecedor do respeito internacional que conquistou e que agradou crianças e adultos.",266.0,932.0
Wall-E,Neto S.,4.0,"Após entulhar a Terra de lixo e poluir a atmosfera com gases tóxicos, a humanidade deixou o planeta e passou a viver em uma gigantesca nave. O plano era que o retiro durasse alguns poucos anos, com robôs sendo deixados para limpar o planeta. Wall-E é o último destes robôs, que se mantém em funcionamento graças ao auto-conserto de suas peças. Sua vida consiste em compactar o lixo existente no planeta, que forma torres maiores que arranha-céus, e colecionar objetos curiosos que encontra ao realizar seu trabalho. Até que um dia surge repentinamente uma nave, que traz um novo e moderno robô: Eva. A princípio curioso, Wall-E logo se apaixona pela recém-chegada. Animaçao Muito Boas Com Personagens Incriveis Disney Mandou Muito Bem Denovo Nota 9.0",773.0,30352.0
Wall-E,Julio Davila,3.5,"Crítico, bem animado e emocionante, Wall-E é um excelente filme da PixarWALL·E foi aclamado pela crítica especializada, conseguindo um índice de aprovação de 96% no agregador de resenhas Rotten Tomatoes. Arrecadou um total de 521 311 860 dólares no mundo inteiro. vencendo o Golden Globe Award de Melhor Filme de Animação, o Hugo Award de Melhor Apresentação Dramática, Forma Longa, e o Oscar de Melhor Filme de Animação, recebendo outras cinco indicações em diferentes categorias. O filme realmente é muito bom e entra na minha lista de 10 melhores filmes da Pixar. Mas isso não quer dizer que é perfeito.Após entulhar a Terra de lixo e poluir a atmosfera com gases tóxicos, a humanidade deixou o planeta e passou a viver em uma gigantesca nave. O plano era que o retiro durasse alguns poucos anos, com robôs sendo deixados para limpar o planeta. Wall-E é o último destes robôs, que se mantém em funcionamento graças ao auto-conserto de suas peças. Sua vida consiste em compactar o lixo existente no planeta, que forma torres maiores que arranha-céus, e colecionar objetos curiosos que encontra ao realizar seu trabalho. Até que um dia surge repentinamente uma nave, que traz um novo e moderno robô: Eva. A princípio curioso, Wall-E logo se apaixona pela recém-chegada.A história do filme é interessante e apresenta uma crítica boa à natureza do ser humano e ao fato de que seres humanos são facilmente manipuláveis. O filme definitivamente irá agradar ambientalistas mas sua crítica tem um problema: esse é um filme para crianças. O final do filme apresenta uma opinião como se fosse um fato, uma verdade universal que tem de ser seguida. Quando seu público alvo são pessoas que normalmente irão acreditar em tudo que você apresenta a elas, acho estranho o fato do final ser da forma como é e desconfio das intenções dos criadores mas, apesar disso, o filme é no geral muito satisfatório, os personagens são muito divertidos de ver (principalmente o protagonista que imediatamente ganha a afeição do espectador). Apesar de achar o começo um pouco entediante devo dizer que jamais parei de ficar impressionado com a animação. Esse filme é mais animado do que filmes lançado 7 anos depois e por saber disso os criadores resolveram colocar cenas que não tem particularmente nenhuma relevância à história mas que são muitos prazerosas de ver, justamente por que sua apresentação é belíssima.  É também importante ressaltar a homenagem feita a filmes antigos pois Wall-E constantemente assiste a “Hello Dolly”, um musical antigo e isso tem um efeito muito grande nele. A maior parte dos problemas que eu tenho com filme ocorrem no final (o que acontece com Wall-E no final é impossível) mas no geral o filme é bem divertido.Recomendo o filme para um público fã de animação e cinema visualmente gratificante. Nota: 7/10",64.0,17.0
Wall-E,Sidney,2.5,"Pixar..Pixar..você esta de parabéns, mais uma vez conseguiram fazer uma super produção, e um grande e magnifíco filme.WALLE devia ter tido mais espaço no cenário de 2008, mas enfim não deixa de ser uma excelente animação, esses é um dos melhores que ja VI.RECOMENDO.",636.0,8967.0
Wall-E,William,2.5,"Excelente! Mesmo depois de tantas animações a Pixar conseguiu inovar mais uma vez, principalmente no comportamento dos personagens e por mais fantasioso que pareça, não deixa de ser uma versão aceitável do futuro da humanidade e de nosso planeta.",173.0,156.0
Wall-E,Fabio,2.5,"Chaplin do espaço é pra todas as idades.Que a pixar tinha provado seu valor ao longo dos anos é inegável, cativando sempre crianças e adultos. Porém desta vez como o protagonista de Wall-E, que busca um propósito maior em sua vida, a pixar foi além. Quando se fala em uma animação cuja a história trata de um futuro sombrio no qual a humanidade se exilou no espaço após destruir o meio ambiente e esgotar os recursos da terra é difícil imaginar tal desenho infantil. Mas Wall-E é diversão para os pequeninos e para os grandões. É também uma mensagem para o futuro sem ser chata. Uma das melhores animações de todos os tempos.",97.0,35.0
Wall-E,Dennys R,3.5,É interessante como conseguiram fazer uma animação completa e cativante mesmo sem os personagens falarem. Parabéns a Disney pelo ótimo trabalho.,198.0,42.0
Wall-E,Raphael N.,5.0,"Não tem como falar de Pixar sem falar de qualidade, maturidade, detalhe, etc... Quando se fala em melhor filme da Pixar é difícil escolher entre tantas opções excelentes e com qualidades distintas, porém existe um que nunca fica fora de alguma lista de melhores filmes do estúdio, esse filme se chama ""Wall-E"".""Wall-E"" é o filme mais adulto e arriscado da Pixar! O filme se propõe a realizar desafios extremos, e consegue êxito sem esforço!Estamos falando de um desenho infantil, que precisa ser fácil de entender para os pequenos, ""Wall-E"" consegue ser claro com quase nenhum diálogo por mais de 20 minutos, praticamente o primeiro ato inteiro.É incrível o que o filme faz com os robôs, eles são se comunicam perfeitamente sem falar uma palavra, principalmente o casal principal. O protagonista é carismático e expresivo, fala muito com o ""olhar"" e rapidamente a gente se apega ao personagem. A maioria dos personagens tem desenvolvimento profundo. 
spoiler: 
O ""piloto automático"" tem papel de antagonista mas suas motivações são completamente justificáveis a ponto de a gente sempre pensar que ele pode até ter razão! 
Na verdade o vilão da história são os próprios seres humanos que não cuidaram direito do seu lar, uma ótima mensagem para quem ainda desrespeita o meio ambiente. O filme ainda critica explicitamente o capitalismo e o consumismo proveniente dele, uma crítica aos próprios EUA e Disney (ousado). Daria pra ficar horas aqui falando de mensagens do filme: uso excessivo de eletrônicos, falta de cuidado com a saúde, politicagem, propósito de casa indivíduo na vida...O filme tem o mesmo diretor de ""Procurando Nemo"" e as semelhanças são claras tanto na estrutura do longa como um todo até na trilha sonora. O roteiro do filme segue aquele padrão da Pixar, o que imprime originalidade é o excelente desenvolvimento da premissa e da trama. O filme ainda homenageia vários gêneros do cinema como a cinema mudo e as primeiras obras de ficção científica.""Wall-E"" é uma obra de arte quase perfeita, engraçada e divertida de acompanhar; importante e profunda de se refletir MUITO depois!",17.0,14.0
Wall-E,Francisco F.,4.0,"Sou fã de desenho animado e dos filmes da Pixar. É um filme bem feito e com uma linda lição de moral, porém períodos lentos e menos humor e carisma que poderia conter.",180.0,118.0
Wall-E,Ronaldo M,5.0,"Wall-E vai muito mais além da história de um robozinho solitário, feio, pobre, maltrapilho, operário,  que se apaixona pela linda e exótica robozinha Eva, por quem tenta chamar a atenção e conquistá-la gradativamente com sua dedicação e cuidados, comprovando que ""quem ama cuida"".O olhar expressivo e as emoções passadas por um robozinho de metal com espírito de uma criança alegre, ingênua e curiosa,  conquista de imediato qualquer espectador, seja adulto ou infantil.Além do simples entretenimento, o desenho é uma crítica à sociedade de consumo e ao capitalismo selvagem, que vem esgotando os recursos naturais do nosso planeta e nos convida para uma reflexão sobre a nossa existência e sobrevivência.A sociedade, inteligentemente representada por personagens da classe média, sedentária, obesa, bitolada, que não consegue enxergar além de um palmo do seu nariz, diante de seus olhos (com monitores de TVs), são há todo instante, manipulados, idiotizados e conduzidos  pela mídia: O que pensar, o que comer, o que vestir, onde ir, qual a cor da moda, o que é bom, o que é ruim, conceitos e valores, conduzindo-os pela automação e pelo sistema, que vai punir quem ousar subvertê-lo.A produção e a qualidade técnica são impecáveis, vale à pena conferir!",36.0,24.0
Wall-E,DANIEL BARRAL,5.0,"Um excelente filme de ficção científica da Pixar. O filme conta a história de um robozinho solitário que coleta lixo de uma Terra situada em 2700, após a atmosfera ser poluída por gases tóxicos, causadas pelo homem, até que tudo muda quando ele conhece Eva. Um excelente filme, um dos meus favoritos da Pixar e com um final muito emocionante.",222.0,25.0
Wall-E,Ravi Oliveira,4.5,"Sinopse:Após entulhar a Terra de lixo e poluir a atmosfera com gases tóxicos, a humanidade deixou o planeta e passou a viver em uma gigantesca nave. O plano era que o retiro durasse alguns poucos anos, com robôs sendo deixados para limpar o planeta. WALL-E é o último destes robôs, e sua vida consiste em compactar o lixo existente no planeta. Até que um dia surge repentinamente uma nave, que traz um novo e moderno robô: Eva. A princípio curioso, WALL-E se apaixona e resolve segui-la por toda a galáxia.Crítica:""WALL-E"" é uma obra da animação que vai além da simplicidade de um filme infantil. Dirigido por Andrew Stanton, o filme apresenta uma narrativa envolvente que mescla romance e ficção científica, tudo isso em um futuro distópico onde a humanidade deixou a Terra em um estado de abandono. No cerne da história está WALL-E, um robô com uma singularidade que transcende suas funções programadas—sua curiosidade e capacidade de amar.O filme se destaca pela sua abordagem visual. Desde as sequências iniciais, onde a comunicação é quase silenciosa, somos levados a apreciar a expressão e a linguagem corporal de WALL-E. Essa escolha de narrar uma história com tão poucos diálogos é corajosa e muito eficaz, permitindo que o público se conecte emocionalmente com o personagem principal sem palavras.Além disso, ""WALL-E"" não é apenas uma história de amor robótico; é uma crítica social contundente sobre o consumismo desenfreado e a degradação ambiental. O cenário da Terra, coberta de lixo e devastada, serve como um poderoso lembrete das consequências de nossas ações coletivas. A maneira como o filme aborda temas complexos como a obesidade e o estilo de vida sedentário da humanidade futurista é sutil, mas impactante.A trilha sonora de Thomas Newman é outro ponto alto, complementando as emoções já expressadas através das imagens. Os sons robóticos e a música delicada criam uma atmosfera mágica que realça os momentos de descoberta e conexão entre WALL-E e EVE.A animação é impressionante, com detalhes meticulosos que trazem vida a um mundo futurista. A Pixar, mais uma vez, prova sua habilidade em criar personagens memoráveis e mundos cativantes que não apenas entretêm, mas também incitam reflexão.Embora seja um filme voltado para o público jovem, ""WALL-E"" ressoa com espectadores de todas as idades, provando que histórias bem contadas podem transcender gerações e provocar conversas relevantes sobre nosso futuro. Em resumo, ""WALL-E"" é um triunfo da animação que combina entretenimento e mensagem de maneira sublime. É uma obra que continua a inspirar e fazer refletir, mesmo anos após seu lançamento.",409.0,19.0
Wall-E,Um visitante,4.0,"Já passamos do tempo,em que as animações voltavam suas histórias apenas para o público infantil.Se bem,que ainda temos histórias que ainda insistam nesse público.Mais quando demos conta de está assistindo Wall-E ,saberemos que o filme não foi produzido para os olhos das crianças.Wall-E é uma das maiores tarefas da Disney.Que nos aprecia com uma forma de um cinema que já encantou gerações.Com poucos personagens ,o filme ainda assim nos preenche de uma maneira única.Onde viveremos angústias,e principalmente as aventuras que sempre estão trazendo Wall.Um ser solitário,que está rodeado de lixo e nada mais.A solidão do Wall é um dos pontos mais tristes de todo o filme.Mais há de aparecer um ser,quer dizer,mais uma máquina para compartilhar momentos bem mais do que interessantes.A responsável é a bem desenhada Eve.Que irá despertar algum interesse no antigo solitário.",,
Wall-E,Leonardo A,4.0,Animação de ficção científica distópica e que anteviu toda a crise de poluentes e sustentabilidade no planeta.,187.0,11.0
Wall-E,apenasumr,4.0,Uma das melhores animaçoes da disney com um ótimo 3D e diversão espaçial recomendado para qualquer idade,449.0,3889.0
Wall-E,Jhonathan C.,4.5,"É incrível. Explêndido. A cada vez a Pixar se supera demais. Um Wall.E é um personagem simples, praticamente sem fala, mas que, pra quem já assistiu, não é necessário. Foi uma animação muito emotiva, um pouco confusa para as crianças, mas de super entendimento do adultos.",415.0,3310.0
Wall-E,Renata,5.0,Adoro!!!!Até os robôs se apaixonam...É incrível como os criadores desses filmes enxergam a terra daqui uns anos....,21.0,14.0
Wall-E,Mateus B,2.0,"Nesse filke a pixar não foi pixar,essa história até é boa mais é um pouci mal desenvolvida,walle é um personagem que não carisma como woody e buzz,de longe o pior filme da pixar.péssimo.",95.0,37.0
Wall-E,leonardo,4.5,"Sem duvidas um dos melhores filmes da Pixar, com uma historia muito bem construida. O carisma de Wall-E encanta muito e é o ponto mais forte do filme.",102.0,37.0
Wall-E,Mauricio C.,5.0,"Como não aplaudir essa obra prima de animação que solta uma crítica ao nosso presente, mostrando para nós o que pode estar por vir,  com um romance  da mais sincera forma possível entre wall-e e Eva",49.0,10.0
Wall-E,Ricardo A.,5.0,"Um dos melhores filmes de animação feitos pela Pixar na atualidade. Para mim uma obra prima do gênero, especialmente quando lançam mão de diálogos autoexplicativos para se fazerem entender tanto por crianças quanto por adultos passando uma mensagem de amor ao próximo e ao planeta em que vivemos. Além disso outros subtemas como má educação alimentar, romance entre ""diferentes classes sociais de robôs"", mundo moderno e virtualidade, são outros pontos citados no filme com muito esmero. Um clássico para ser revisto sempre que se quiser se emocionar com pequenas coisas, como por exemplo o relacionamento de um robô e uma barata, sua única amiga.",174.0,167.0
Wall-E,Higor Barion,5.0,"Como sempre a Pixar sempre me impressiona, não só pela alta qualidade na animaçãomas também pela riqueza na história.Um filme mágico que vale a pena ser visto e revisto por qualquer um.Nota 5 de 5.",11.0,87.0
Wall-E,Ferris Bueller N.,5.0,Um Dos filmes mais belos e tocantes já feitos. Obra-prima,94.0,45.0
